periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,Population 10-14 Year-Old Girls,Women of childbearing age (15â€“49yrs),uid_code,uid_year,,,,
2014,2014,2014,,Kenya,Kajiado County,Hsk1YV8kHkT,Kajiado County,KE_County_34,,30521,,174354,201401_Hsk1YV8kHkT,2014_Hsk1YV8kHkT,,,,
2014,2014,2014,,Kenya,Laikipia County,xuFdFy6t9AH,Laikipia County,KE_County_31,,12362,,68426,201401_xuFdFy6t9AH,2014_xuFdFy6t9AH,,,,
2014,2014,2014,,Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,24517,,225176,201401_kphDeKClFch,2014_kphDeKClFch,,,,
2014,2014,2014,,Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,43784,,223505,201401_t0J75eHKxz5,2014_t0J75eHKxz5,,,,
2014,2014,2014,,Kenya,Elgeyo Marakwet County,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,18424,,103238,201401_MqnLxQBigG0,2014_MqnLxQBigG0,,,,
2014,2014,2014,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,33980,,249162,201401_N7YETT3A9r1,2014_N7YETT3A9r1,,,,
2014,2014,2014,,Kenya,Homa Bay County,nK0A12Q7MvS,Homa Bay County,KE_County_43,,45558,,266176,201401_nK0A12Q7MvS,2014_nK0A12Q7MvS,,,,
2014,2014,2014,,Kenya,Trans Nzoia County,mThvosEflAU,Trans Nzoia County,KE_County_26,,45934,,240397,201401_mThvosEflAU,2014_mThvosEflAU,,,,
2014,2014,2014,,Kenya,West Pokot County,XWALbfAPa6n,West Pokot County,KE_County_24,,21198,,144549,201401_XWALbfAPa6n,2014_XWALbfAPa6n,,,,
2014,2014,2014,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,39762,,237820,201401_HMNARUV2CW4,2014_HMNARUV2CW4,,,,
2014,2014,2014,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,68016,,445067,201401_BjC1xL40gHo,2014_BjC1xL40gHo,,,,
2014,2014,2014,,Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,52275,,302669,201401_nrI2khZx3d0,2014_nrI2khZx3d0,,,,
2014,2014,2014,,Kenya,Nairobi County,jkG3zaihdSs,Nairobi County,KE_County_47,,158875,,981191,201401_jkG3zaihdSs,2014_jkG3zaihdSs,,,,
2014,2014,2014,,Kenya,Siaya County,u4t9H8XyU9P,Siaya County,KE_County_41,,38257,,215720,201401_u4t9H8XyU9P,2014_u4t9H8XyU9P,,,,
2014,2014,2014,,Kenya,Vihiga County,sANMZ3lpqGs,Vihiga County,KE_County_38,,23852,,146911,201401_sANMZ3lpqGs,2014_sANMZ3lpqGs,,,,
2014,2014,2014,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,3999,,26999,201401_NjWSbQTwys4,2014_NjWSbQTwys4,,,,
2014,2014,2014,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,18732,,163342,201401_mYZacFNIB3h,2014_mYZacFNIB3h,,,,
2014,2014,2014,,Kenya,Tharaka Nithi County,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,14478,,101483,201401_T4urHM47nlm,2014_T4urHM47nlm,,,,
2014,2014,2014,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,14795,,146764,201401_PFu8alU2KWG,2014_PFu8alU2KWG,,,,
2014,2014,2014,,Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,30641,,201365,201401_Tvf1zgVZ0K4,2014_Tvf1zgVZ0K4,,,,
2014,2014,2014,,Kenya,Uasin Gishu County,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,42206,,243856,201401_pZqQRRW7PHP,2014_pZqQRRW7PHP,,,,
2014,2014,2014,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,11114,,68893,201401_JsH2bnvNt2d,2014_JsH2bnvNt2d,,,,
2014,2014,2014,,Kenya,Mandera County,R6f9znhg37c,Mandera County,KE_County_9,,36285,,299941,201401_R6f9znhg37c,2014_R6f9znhg37c,,,,
2014,2014,2014,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,64744,,366967,201401_KGHhQ5GLd4k,2014_KGHhQ5GLd4k,,,,
2014,2014,2014,,Kenya,Isiolo County,bzOfj0iwfDH,Isiolo County,KE_County_11,,7044,,44026,201401_bzOfj0iwfDH,2014_bzOfj0iwfDH,,,,
2014,2014,2014,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,31836,,225985,201401_BoDytkJQ4Qi,2014_BoDytkJQ4Qi,,,,
2014,2014,2014,,Kenya,Kiambu County,qKzosKQPl6G,Kiambu County,KE_County_22,,51967,,486575,201401_qKzosKQPl6G,2014_qKzosKQPl6G,,,,
2014,2014,2014,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,42031,,256032,201401_wsBsC6gjHvn,2014_wsBsC6gjHvn,,,,
2014,2014,2014,,Kenya,Kitui County,j8o6iO4Njsi,Kitui County,KE_County_15,,42861,,243221,201401_j8o6iO4Njsi,2014_j8o6iO4Njsi,,,,
2014,2014,2014,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,45938,,260514,201401_sPkRcDvhGWA,2014_sPkRcDvhGWA,,,,
2014,2014,2014,,Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,19418,,142769,201401_uepLTG8wGWJ,2014_uepLTG8wGWJ,,,,
2014,2014,2014,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,25626,,148688,201401_uyOrcHZBpW0,2014_uyOrcHZBpW0,,,,
2014,2014,2014,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,14376,,80229,201401_Eey8fT4Im3y,2014_Eey8fT4Im3y,,,,
2014,2014,2014,,Kenya,Nakuru County,ob6SxuRcqU4,Nakuru County,KE_County_32,,70948,,475593,201401_ob6SxuRcqU4,2014_ob6SxuRcqU4,,,,
2014,2014,2014,,Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,18072,,177918,201401_ptWVfaCIdVx,2014_ptWVfaCIdVx,,,,
2014,2014,2014,,Kenya,Muranga County,ahwTMNAJvrL,Muranga County,KE_County_21,,21064,,225111,201401_ahwTMNAJvrL,2014_ahwTMNAJvrL,,,,
2014,2014,2014,,Kenya,Machakos County,yhCUgGcCcOo,Machakos County,KE_County_16,,50432,,290471,201401_yhCUgGcCcOo,2014_yhCUgGcCcOo,,,,
2014,2014,2014,,Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,29180,,141585,201401_CeLsrJOH0g9,2014_CeLsrJOH0g9,,,,
2014,2014,2014,,Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,47122,,251602,201401_fVra3Pwta0Q,2014_fVra3Pwta0Q,,,,
2014,2014,2014,,Kenya,Taita Taveta County,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,13963,,76923,201401_QyGNX2DpR4h,2014_QyGNX2DpR4h,,,,
2014,2014,2014,,Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,41685,,234089,201401_kqJ83J2D72s,2014_kqJ83J2D72s,,,,
2014,2014,2014,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,26103.46,,136788.46,201401_vvOK1BxTbet,2014_vvOK1BxTbet,,,,
2014,2014,2014,,Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,43360,,360955,201401_Y52XNJ50hYb,2014_Y52XNJ50hYb,,,,
2014,2014,2014,,Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,41000,,258146,201401_tAbBVBbueqD,2014_tAbBVBbueqD,,,,
2014,2014,2014,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,42452.8,,212509.2,201401_ihZsJ8alvtb,2014_ihZsJ8alvtb,,,,
2014,2014,2014,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13103,,150445,201401_Ulj33KBau7V,2014_Ulj33KBau7V,,,,
2014,2014,2014,,Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,11637,,55039,201401_o36zCRjSd4G,2014_o36zCRjSd4G,,,,
2015,2015,2015,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,35981,,239224,201501_BoDytkJQ4Qi,2015_BoDytkJQ4Qi,,,,
2015,2015,2015,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,43502,,289230,201501_wsBsC6gjHvn,2015_wsBsC6gjHvn,,,,
2015,2015,2015,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,60446,,399773,201501_KGHhQ5GLd4k,2015_KGHhQ5GLd4k,,,,
2015,2015,2015,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,24907,,153541,201501_uyOrcHZBpW0,2015_uyOrcHZBpW0,,,,
2015,2015,2015,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,10545,,70110,201501_JsH2bnvNt2d,2015_JsH2bnvNt2d,,,,
2015,2015,2015,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,49852,,331453,201501_sPkRcDvhGWA,2015_sPkRcDvhGWA,,,,
2015,2015,2015,,Kenya,Muranga County,ahwTMNAJvrL,Muranga County,KE_County_21,,34842,,231649,201501_ahwTMNAJvrL,2015_ahwTMNAJvrL,,,,
2015,2015,2015,,Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,49089,,274213,201501_fVra3Pwta0Q,2015_fVra3Pwta0Q,,,,
2015,2015,2015,,Kenya,Nakuru County,ob6SxuRcqU4,Nakuru County,KE_County_32,,72568,,490693,201501_ob6SxuRcqU4,2015_ob6SxuRcqU4,,,,
2015,2015,2015,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,4388,,29179,201501_NjWSbQTwys4,2015_NjWSbQTwys4,,,,
2015,2015,2015,,Kenya,Siaya County,u4t9H8XyU9P,Siaya County,KE_County_41,,34883,,231931,201501_u4t9H8XyU9P,2015_u4t9H8XyU9P,,,,
2015,2015,2015,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,29501,,195781,201501_HMNARUV2CW4,2015_HMNARUV2CW4,,,,
2015,2015,2015,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,71321,,474180,201501_BjC1xL40gHo,2015_BjC1xL40gHo,,,,
2015,2015,2015,,Kenya,Tharaka Nithi County,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,14831,,104484,201501_T4urHM47nlm,2015_T4urHM47nlm,,,,
2015,2015,2015,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,17905,,141465,201501_PFu8alU2KWG,2015_PFu8alU2KWG,,,,
2015,2015,2015,,Kenya,Nairobi County,jkG3zaihdSs,Nairobi County,KE_County_47,,147876,,983186,201501_jkG3zaihdSs,2015_jkG3zaihdSs,,,,
2015,2015,2015,,Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,48679,,323650,201501_nrI2khZx3d0,2015_nrI2khZx3d0,,,,
2015,2015,2015,,Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,25107,,166933,201501_uepLTG8wGWJ,2015_uepLTG8wGWJ,,,,
2015,2015,2015,,Kenya,Vihiga County,sANMZ3lpqGs,Vihiga County,KE_County_38,,24055,,159938,201501_sANMZ3lpqGs,2015_sANMZ3lpqGs,,,,
2015,2015,2015,,Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,48327,,321314,201501_kphDeKClFch,2015_kphDeKClFch,,,,
2015,2015,2015,,Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,34468,,229166,201501_t0J75eHKxz5,2015_t0J75eHKxz5,,,,
2015,2015,2015,,Kenya,Elgeyo Marakwet County,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,16577,,110207,201501_MqnLxQBigG0,2015_MqnLxQBigG0,,,,
2015,2015,2015,,Kenya,Mandera County,R6f9znhg37c,Mandera County,KE_County_9,,46869,,316434,201501_R6f9znhg37c,2015_R6f9znhg37c,,,,
2015,2015,2015,,Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,32039,,213026,201501_Tvf1zgVZ0K4,2015_Tvf1zgVZ0K4,,,,
2015,2015,2015,,Kenya,West Pokot County,XWALbfAPa6n,West Pokot County,KE_County_24,,22786,,151494,201501_XWALbfAPa6n,2015_XWALbfAPa6n,,,,
2015,2015,2015,,Kenya,Uasin Gishu County,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,38155,,252911,201501_pZqQRRW7PHP,2015_pZqQRRW7PHP,,,,
2015,2015,2015,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,27688,,192699,201501_mYZacFNIB3h,2015_mYZacFNIB3h,,,,
2015,2015,2015,,Kenya,Isiolo County,bzOfj0iwfDH,Isiolo County,KE_County_11,,6472,,42283,201501_bzOfj0iwfDH,2015_bzOfj0iwfDH,,,,
2015,2015,2015,,Kenya,Kajiado County,Hsk1YV8kHkT,Kajiado County,KE_County_34,,30937,,205681,201501_Hsk1YV8kHkT,2015_Hsk1YV8kHkT,,,,
2015,2015,2015,,Kenya,Trans Nzoia County,mThvosEflAU,Trans Nzoia County,KE_County_26,,39709,,252007,201501_mThvosEflAU,2015_mThvosEflAU,,,,
2015,2015,2015,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,28308,,188214,201501_N7YETT3A9r1,2015_N7YETT3A9r1,,,,
2015,2015,2015,,Kenya,Taita Taveta County,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,12255,,81480,201501_QyGNX2DpR4h,2015_QyGNX2DpR4h,,,,
2015,2015,2015,,Kenya,Machakos County,yhCUgGcCcOo,Machakos County,KE_County_16,,44337,,297869,201501_yhCUgGcCcOo,2015_yhCUgGcCcOo,,,,
2015,2015,2015,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,24780,,164746,201501_vvOK1BxTbet,2015_vvOK1BxTbet,,,,
2015,2015,2015,,Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,11416,,58986,201501_o36zCRjSd4G,2015_o36zCRjSd4G,,,,
2015,2015,2015,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,13573,,83800,201501_Eey8fT4Im3y,2015_Eey8fT4Im3y,,,,
2015,2015,2015,,Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,26542,,176477,201501_ptWVfaCIdVx,2015_ptWVfaCIdVx,,,,
2015,2015,2015,,Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,38002,,240549,201501_kqJ83J2D72s,2015_kqJ83J2D72s,,,,
2015,2015,2015,,Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,41517,,270406,201501_tAbBVBbueqD,2015_tAbBVBbueqD,,,,
2015,2015,2015,,Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,26537,,158556,201501_CeLsrJOH0g9,2015_CeLsrJOH0g9,,,,
2015,2015,2015,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,34714,,216338,201501_ihZsJ8alvtb,2015_ihZsJ8alvtb,,,,
2015,2015,2015,,Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,43797,,364585,201501_Y52XNJ50hYb,2015_Y52XNJ50hYb,,,,
2015,2015,2015,,Kenya,Homa Bay County,nK0A12Q7MvS,Homa Bay County,KE_County_43,,42142,,278190,201501_nK0A12Q7MvS,2015_nK0A12Q7MvS,,,,
2015,2015,2015,,Kenya,Laikipia County,xuFdFy6t9AH,Laikipia County,KE_County_31,,10323,,68638,201501_xuFdFy6t9AH,2015_xuFdFy6t9AH,,,,
2015,2015,2015,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13338,,153001,201501_Ulj33KBau7V,2015_Ulj33KBau7V,,,,
2015,2015,2015,,Kenya,Kiambu County,qKzosKQPl6G,Kiambu County,KE_County_22,,64714,,440016,201501_qKzosKQPl6G,2015_qKzosKQPl6G,,,,
2015,2015,2015,,Kenya,Kitui County,j8o6iO4Njsi,Kitui County,KE_County_15,,40344,,264610,201501_j8o6iO4Njsi,2015_j8o6iO4Njsi,,,,
2016,2016,2016,,Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,27390,,163681,201601_CeLsrJOH0g9,2016_CeLsrJOH0g9,,,,
2016,2016,2016,,Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,51907,,277840,201601_fVra3Pwta0Q,2016_fVra3Pwta0Q,,,,
2016,2016,2016,,Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,51477,,331453,201601_nrI2khZx3d0,2016_nrI2khZx3d0,,,,
2016,2016,2016,,Kenya,Siaya County,u4t9H8XyU9P,Siaya County,KE_County_41,,35971,,221729,201601_u4t9H8XyU9P,2016_u4t9H8XyU9P,,,,
2016,2016,2016,,Kenya,Nakuru County,ob6SxuRcqU4,Nakuru County,KE_County_32,,73303,,503843,201601_ob6SxuRcqU4,2016_ob6SxuRcqU4,,,,
2016,2016,2016,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,24667,,163996,201601_mYZacFNIB3h,2016_mYZacFNIB3h,,,,
2016,2016,2016,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,4573,,30403,201601_NjWSbQTwys4,2016_NjWSbQTwys4,,,,
2016,2016,2016,,Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,44245,,368329,201601_Y52XNJ50hYb,2016_Y52XNJ50hYb,,,,
2016,2016,2016,,Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,30810,,305832,201601_kphDeKClFch,2016_kphDeKClFch,,,,
2016,2016,2016,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,24934,,159367,201601_uyOrcHZBpW0,2016_uyOrcHZBpW0,,,,
2016,2016,2016,,Kenya,Trans Nzoia County,mThvosEflAU,Trans Nzoia County,KE_County_26,,41197,,261449,201601_mThvosEflAU,2016_mThvosEflAU,,,,
2016,2016,2016,,Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,22451,,176355,201601_ptWVfaCIdVx,2016_ptWVfaCIdVx,,,,
2016,2016,2016,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,13802,,87086,201601_Eey8fT4Im3y,2016_Eey8fT4Im3y,,,,
2016,2016,2016,,Kenya,Kajiado County,Hsk1YV8kHkT,Kajiado County,KE_County_34,,31624,,202271,201601_Hsk1YV8kHkT,2016_Hsk1YV8kHkT,,,,
2016,2016,2016,,Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,35022,,232845,201601_t0J75eHKxz5,2016_t0J75eHKxz5,,,,
2016,2016,2016,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,51232,,326123,201601_sPkRcDvhGWA,2016_sPkRcDvhGWA,,,,
2016,2016,2016,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,30574,,183128,201601_N7YETT3A9r1,2016_N7YETT3A9r1,,,,
2016,2016,2016,,Kenya,Elgeyo Marakwet County,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,17103,,113708,201601_MqnLxQBigG0,2016_MqnLxQBigG0,,,,
2016,2016,2016,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,37646,,250293,201601_BoDytkJQ4Qi,2016_BoDytkJQ4Qi,,,,
2016,2016,2016,,Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,32791,,219998,201601_Tvf1zgVZ0K4,2016_Tvf1zgVZ0K4,,,,
2016,2016,2016,,Kenya,Uasin Gishu County,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,42210,,272818,201601_pZqQRRW7PHP,2016_pZqQRRW7PHP,,,,
2016,2016,2016,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,18182,,143626,201601_PFu8alU2KWG,2016_PFu8alU2KWG,,,,
2016,2016,2016,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,10935,,72704,201601_JsH2bnvNt2d,2016_JsH2bnvNt2d,,,,
2016,2016,2016,,Kenya,Isiolo County,bzOfj0iwfDH,Isiolo County,KE_County_11,,6680,,43655,201601_bzOfj0iwfDH,2016_bzOfj0iwfDH,,,,
2016,2016,2016,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,63604,,422878,201601_KGHhQ5GLd4k,2016_KGHhQ5GLd4k,,,,
2016,2016,2016,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,32373,,214225,201601_HMNARUV2CW4,2016_HMNARUV2CW4,,,,
2016,2016,2016,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,72756,,489379,201601_BjC1xL40gHo,2016_BjC1xL40gHo,,,,
2016,2016,2016,,Kenya,Nairobi County,jkG3zaihdSs,Nairobi County,KE_County_47,,147984,,1088028,201601_jkG3zaihdSs,2016_jkG3zaihdSs,,,,
2016,2016,2016,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,25591,,170140,201601_vvOK1BxTbet,2016_vvOK1BxTbet,,,,
2016,2016,2016,,Kenya,West Pokot County,XWALbfAPa6n,West Pokot County,KE_County_24,,23492,,156190,201601_XWALbfAPa6n,2016_XWALbfAPa6n,,,,
2016,2016,2016,,Kenya,Mandera County,R6f9znhg37c,Mandera County,KE_County_9,,48819,,324581,201601_R6f9znhg37c,2016_R6f9znhg37c,,,,
2016,2016,2016,,Kenya,Vihiga County,sANMZ3lpqGs,Vihiga County,KE_County_38,,24516,,162999,201601_sANMZ3lpqGs,2016_sANMZ3lpqGs,,,,
2016,2016,2016,,Kenya,Taita Taveta County,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,12755,,84811,201601_QyGNX2DpR4h,2016_QyGNX2DpR4h,,,,
2016,2016,2016,,Kenya,Tharaka Nithi County,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,15194,,107548,201601_T4urHM47nlm,2016_T4urHM47nlm,,,,
